zip,city,state,lat,lon,pop,sqmi,denspersqmi,med_income,avg_income,subways
740,Puerto Real,PR,18.331178,-65.634104,0,0.426,0,#N/A,#N/A,0
741,Punta Santiago,PR,18.163855,-65.754042,0,2.363,0,#N/A,#N/A,0
745,Rio Grande,PR,18.352216,-65.817387,0,51.613,0,#N/A,#N/A,1
751,Salinas,PR,18.001317,-66.252183,0,46.968,0,#N/A,#N/A,0
754,San Lorenzo,PR,18.147107,-65.976167,0,51.029,0,#N/A,#N/A,1
757,Santa Isabel,PR,17.995441,-66.391334,0,29.833,0,#N/A,#N/A,2
765,Vieques,PR,18.130096,-65.439369,0,19.039,0,#N/A,#N/A,1
766,Villalba,PR,18.133196,-66.476916,0,40.039,0,#N/A,#N/A,1
767,Yabucoa,PR,18.069489,-65.896161,0,55.406,0,#N/A,#N/A,1
769,Coamo,PR,18.1038,-66.357586,0,76.514,0,#N/A,#N/A,1
771,Las Piedras,PR,18.187148,-65.871189,0,33.819,0,#N/A,#N/A,0
772,Loiza,PR,18.438969,-65.905174,0,14.663,0,#N/A,#N/A,0
773,Luquillo,PR,18.342888,-65.723109,0,24.312,0,#N/A,#N/A,1
775,Culebra,PR,18.326599,-65.30772,0,10.561,0,#N/A,#N/A,0
777,Juncos,PR,18.224133,-65.908542,0,26.581,0,#N/A,#N/A,1
778,Gurabo,PR,18.264076,-65.97851,0,29.644,0,#N/A,#N/A,1
780,Coto Laurel,PR,18.102834,-66.568105,0,20.098,0,#N/A,#N/A,2
782,Comerio,PR,18.225708,-66.221633,0,26.644,0,#N/A,#N/A,0
783,Corozal,PR,18.30391,-66.326179,0,41.847,0,#N/A,#N/A,1
784,Guayama,PR,18.010714,-66.133615,0,55.551,0,#N/A,#N/A,0
786,La Plata,PR,18.155424,-66.229907,0,0.257,0,#N/A,#N/A,0
791,Humacao,PR,18.136782,-65.821476,0,36.959,0,#N/A,#N/A,3
794,Barranquitas,PR,18.198955,-66.309833,0,35.297,0,#N/A,#N/A,1
795,Juana Diaz,PR,18.060494,-66.500624,0,46.257,0,#N/A,#N/A,1
801,St Thomas,VI,18.350449,-64.973886,0,1.123,0,#N/A,#N/A,0
802,St Thomas,VI,18.340862,-64.923479,0,27.657,0,#N/A,#N/A,0
820,Christiansted,VI,17.743072,-64.68657,0,30.496,0,#N/A,#N/A,0
823,Christiansted,VI,17.723541,-64.745932,0,0.4,0,#N/A,#N/A,0
824,Christiansted,VI,17.744557,-64.682933,0,0.022,0,#N/A,#N/A,0
830,St John,VI,18.33856,-64.736533,0,19.308,0,#N/A,#N/A,0
831,St John,VI,18.327294,-64.78672,0,0.046,0,#N/A,#N/A,0
840,Frederiksted,VI,17.747872,-64.880695,0,18.78,0,#N/A,#N/A,0
841,Frederiksted,VI,17.768133,-64.807852,0,2.548,0,#N/A,#N/A,0
850,Kingshill,VI,17.709936,-64.750099,0,23.187,0,#N/A,#N/A,0
851,Kingshill,VI,17.732228,-64.77076,0,7.6,0,#N/A,#N/A,0
901,San Juan,PR,18.465369,-66.104613,0,0.978,0,#N/A,#N/A,1
906,San Juan,PR,18.46446,-66.094995,0,0.003,0,#N/A,#N/A,0
907,San Juan,PR,18.452553,-66.077838,0,1.209,0,#N/A,#N/A,5
909,San Juan,PR,18.44161,-66.067132,0,0.609,0,#N/A,#N/A,3
911,San Juan,PR,18.451159,-66.056199,0,0.476,0,#N/A,#N/A,0
912,San Juan,PR,18.445328,-66.060135,0,0.334,0,#N/A,#N/A,0
913,San Juan,PR,18.450002,-66.042656,0,0.322,0,#N/A,#N/A,0
915,San Juan,PR,18.437179,-66.045571,0,1.394,0,#N/A,#N/A,0
917,San Juan,PR,18.420674,-66.050105,0,1.297,0,#N/A,#N/A,1
918,San Juan,PR,18.421022,-66.065789,0,2.13,0,#N/A,#N/A,7
920,San Juan,PR,18.414292,-66.088042,0,2.832,0,#N/A,#N/A,2
921,San Juan,PR,18.392282,-66.088555,0,2.68,0,#N/A,#N/A,3
923,San Juan,PR,18.409307,-66.038888,0,2.04,0,#N/A,#N/A,0
924,San Juan,PR,18.399192,-66.012453,0,4.689,0,#N/A,#N/A,1
925,San Juan,PR,18.400296,-66.050602,0,0.447,0,#N/A,#N/A,0
926,San Juan,PR,18.3454,-66.051545,0,24.157,0,#N/A,#N/A,7
927,San Juan,PR,18.388011,-66.072089,0,2.627,0,#N/A,#N/A,2
934,Fort Buchanan,PR,18.411313,-66.124234,0,0.749,0,#N/A,#N/A,1
936,San Juan,PR,18.395463,-66.073772,0,0.161,0,#N/A,#N/A,0
949,Toa Baja,PR,18.430696,-66.212833,0,17.593,0,#N/A,#N/A,1
950,Toa Baja,PR,18.459699,-66.233101,0,2.396,0,#N/A,#N/A,0
951,Toa Baja,PR,18.42753,-66.253789,0,0.415,0,#N/A,#N/A,0
952,Sabana Seca,PR,18.427448,-66.182026,0,1.237,0,#N/A,#N/A,0
953,Toa Alta,PR,18.360729,-66.251527,0,26.697,0,#N/A,#N/A,1
